I don’t trust doctors.  I don’t trust the CDC.  God gave us an immune system and as a healthy persons that is all I need to protect myself from getting COVID.   I think this is all a bunch of hysteria and profiteering by the Pharm industry,You feel that your immune systems is strong enough to protect you from getting covid-19 and you don’t trust the motives of the health system and pharmaceutical industry. You don’t think they are telling us the truth about COVID-19.  They have ulterior motives.,Putting your trust in others is hard for you. It scares you that a company or entity potentially could be experimenting on you with their treatments.,You believe God will protect you from COVID-19.,"Well, we don’t know who is naturally able to avoid getting COVID-19.  The vaccine is the best way to avoid it even if you have a good immune system.  Most religious leaders are recommending that their congregants get vaccinated. ",Do you think everyone in healthcare is in it for the money?,"Otherwise, the fight against COVID is hard, so stop these thoughts.","Well, taking covid vaccine can help you in developing immunity against the virus. You won't be able to spread the virus among your closed ones. This can create a safe environment for everyone. So my advice is that you should get vaccinated as soon as possible.",How does your opinion affect the people around you?,antivax
I’m having a real problem with dizziness.  Sometimes I know it’s from standing up quickly….so I have to sit down or I can be walking down the hallway and have to suddenly grab the wall for support.  I don’t really trust myself to go up the stairs – I’m too afraid of falling.,Your symptom of dizziness has gotten so bad that you're terrified you might take a tumble down the stairs.,You've found a couple things you can do to prevent yourself from falling when you feel dizzy -- including sitting down or grabbing a wall for support.,You've been feeling dizzy lately.,I'm worried too. You need ways to ask for help,Do you have a room to move everything to one level of your house?,"That must be scary. Maybe you should try to start slowly, just one or two steps, very slowly. You can build confidence.","This will pass, soon improve your health and your confidence will return.",Well this sounds like a medical problem. It could be blood pressure.  I think the best thing to do is get an appointment with your doctor and see what they find.,health issues / lifestyle
"Since heart failure hammered me in 1994, I had never managed to sustain a regular exercise routine.  I know I need to do it but I cannot get any regular routine established.","You'd really like to figure out a way to get a regular exericse routine in place. If you could figure out a way to get a routine in place, it might help you get started. ",Your diagnosis of heart failure in 1994 took a lot from you -- including your exercise routine.,You're struggling finding ways to exericse.,Just do it 21 days in a row. 21 days and it'll be a habit just like that.,What have you tried to incorporate into your regular routine?,"You don't need a regular routine. Just do it whenever you can, and you will notice yourself doing it more often.","Start off slow. Make slow changes and begin with simple exercises, then work your way up as you start feeling up to it.","Want a regular routine? Get organized and do it, it just depends on you.",health issues / lifestyle
"Well, this heart thing has really affected what I eat.  I’ve had to cut out salt or what they call sodium. That’s been really hard. I like cheese, salami, lox, bacon and all that yummy stuff.  It seems that sodium is lurking everywhere .",You've really been trying to cut back on foods that are high in sodium.,You're missing your favorite foods but understand that cutting down on sodium is important for your heart health.,Your diet was high in sodium.,"You need to find ways to eat that do not add to your sodium intake. I have some excellent recommendations for a recipe if you can try, seasonings to get, and other tips I think you'll enjoy",Which foods do you enjoy unsalted?,"Calm down, these are vices of our nervous systems, with time you will notice that salt is not so much needed anymore.",INCLUDE AS MANY VEGETABLES -BASED FOODS AS YOU CAN IN YOUR DAILY DIET AND CONTROL THE FOODS THAT CAN HARM YOU AS MUCH AS POSSIBLE TAKE CARE,Cutting sodium is best for your heart. Think of your health before you eat.,health issues / lifestyle
"I used to walk to the park with my nephews, but now I avoid walking more than a block because of the cramping  in my right calf.  I miss spending time with them. But I’m worried that the pain will make my leg worse. Is that true? ",You've found that you're having to cut back on some of your faovirte things because of pain. You wish that things were different.,"The pain in your calf is preventing you from walking and enoying time with your nephews. You're wroried that the pain might mean that something worse may be happening. If it's ok with you, I can share more...",You're worried your leg cramps indicate worsened symptoms of another problem.,Leg cramps could be a sign of low magnesium. I think we should run some labs.,Have you been doing the stretches I gave you?,You might be well worried and seek the opinion of a phsician. Pain is there to function as a signal to pay attention. Ignoring it will get you nowhere.,"Everything can get worse, but what it can do is change.",It depends on why you're cramping. It might actually be helpful to be able to stretch it out. Have you had your doctor do any bloodwork to see what is going on?,health issues / lifestyle
"My brother, also a smoker, has undergone an amputation and I am concerned about losing my right foot/leg.  Other than the risk for amputation, I know very little about poor leg circulation and I am concerned that my lack of knowledge will hurt me.  I have never heard about walking as a way to help my PAD.  I really don’t want to lose my leg.",Your brother's recent amputation really has you examining your own health. You're willing to do whatever it takes so that you don't end up in the same situation.,"You see a lot of parallels between your life and your brothers. Since he's also a smoker with PAD, you think it might be time to start thinking about making some changes so that you don't end up in the same position as him. ",You learned walking could help you keep your leg.,You definitely need to incorporate more physical activity and walking is a great choice.,How many miles a day do you currently walk?,"Just because this happened to your brother doesn't mean it will happen to you. It isn't too late to change your behaviors and educate yourself, more than likely, you will be just fine.","Always follow the instructions of an expert, if he indicated, trust and start the change.","Is this something you have talked to your doctor about? I don't know much about the disease, but you doctor I'm sure would have so many helpful suggestions for you.",health issues / lifestyle
"I’m overwhelmed trying to understand how to manage my poor leg circulation along with my diabetes, smoking, and hypertension.  Smoking relaxes me and helps me cope with my stress.  I also keep my grandchildren four days each week that is exhausting.  I feel  isolated because it is difficult to leave my home due to the cramping; the distance I can walk is decreasing.  I really want to get out of my home and spend time with my grandchildren.","If there was something you could do to manage your health and stay active so that you could get out of the house and spend time with your grandkids, you might be willing to give it a try. ",The leg cramps are keeping you from what you love most -- getting out of the house and spending time with your grandkids.,You're feeling overwhelmed.,It sounds like you want to reduce the amount of time you spend watching your grandkids  so you have more energy.,Why are you watching your grandchildren?,"I know that it relaxes you makes you feel better, but in the long run is it worth more than your leg? If you keep this activity going you know where it’s going to lead. I’m sure you don’t want it to go there.","Tell your children that they should take care of the grandchildren and you should enjoy your grandchildren only when you want, and even more willpower and ask people for help.",Keep writing down your goals and remember small victories add up.,health issues / lifestyle
"Initially, I thought that my PAD wasn’t that bad. Asymptomatic as they call it; however, I realized I had begun to reduce my walking speed to prevent pain, so I guess it is worse than I thought.  Limiting my mobility and keeping my disease to myself has been a stress on me and my family.  I want to tell my family.  I think that with the support of my family I can begin walking."," While you thought for a long time that your PAD wasn't that bad, you're slowly starting to realize that it's definitely taken a toll on you and your ability to get around. ","You've been able to handle PAD on our own for a while. However, it's progressed to a place where you can't keep going on without bringing your family up to speed. You're hopeful that by telling your family, you'll be able to get back to a better place -- physically and mentally. ",Your PAD has slowly taken away some of your speed and mobility.,Your family can help you get back on track with your walking routine.,What will you ask your family to help you with?,The thing is that you have to begin walking again. Get your family involved so it’s all of you guys. Since that is one way that you said you will get started again.,"Yes, tell your family it will be good for both sides and both will support you.",yes,health issues / lifestyle
"I’m angry about having this PAD. I don’t know where it came from.  I want to walk, but can’t push through the pain. I have tried a walking club at my church, but everyone walks a lot farther and the pain was just too much to bear.  I’m looking for information and direction about how to start.","You're looking for more information on how you can get more physical activity, which will hopefully help with the dibilitating pain you've been experiencing.  ",The pain that comes along with PAD is too much to tolerate. You're willing to do whatever it takes to get the pain under control.,You tried a walking club and want to continue.,You need help increasing your stamina. Let's look over some of these walking plans you can choose from.,Can you find someone who wants to walk more frequently but less distance?,This is your life now. There is no point in dwelling on the pain.,I will advice that you visit a physiotherapist to examine you properly and prescribe appropriate treatment for you.,"That's right you're right, just get started and you'll see in the long run that it was great to start.",health issues / lifestyle
"I ‘m feeling discouraged but I know that I have to do something because I cannot walk one block without cramping in my calf.  I have classic claudication where the cramping always comes on at the same distance.  I don’t drive and have always relied on my son to take me to the store, but I feel like I’m inconveniencing him too much.  I would like to be able to walk two blocks to the bus stop.  I don’t understand how a walking program can be helpful, but one of my doctors mentioned walking as a way to treat this poor circulation.  I may be willing to give it a try.",You're at a point where you have to do something. You need to be able to get around but also don't want to have to continue to rely on your son to drive you. You're thinking that starting a program might be a way to help you make it to the bus stop.,It sounds like a walking program has been on your mind as something you might be willing to try.,You want to be able to walk farther than you can now.,You're ready to join a walking club! Let me get you the registration form.,Could you join the walk group that meets tomorrow at 10:00?,"Being willing to try is already a very good thing, then do it, and you will see that the results will gradually improve your quality of life.",Taking small steps and reaching those goals will give you the push you need to keep going to achieve something great.,Alternating hot and cold on your calf before and after a walk can be helpful for muscle cramps. Put an ice pack on it and then a heat pad for about 15 minutes.,health issues / lifestyle
"I hate exercising, but I don’t t want this PAD to get worse. I don’t want to lose my legs. I used to walk a bit a while back but I was a lot younger back then. ","You know that you need to get started with something, but you're worried you might not have it in you because you're not as young as you used to be. ","You recognize that without any changes, your PAD will likely get worse. ",You hate to exericse.,If you walked before then you can work your way back to walking again. Let's discuss a walking plan.,Can you walk on your own or do you need a group to hold you accountable?,"Since you don’t want to lose your leg, it’s time for you to start exercising again. Maybe you can do something in a pool like walking.",There are lots of different types of exercise.  There are short yoga chair exercises available on you tube that might be a great place to start.,Can you try walking a few steps every day and increase the amount of steps you take every few days?,health issues / lifestyle
Walking down that long hallway is hard.  I’m scared of falling and not being able to get up and make it to the bedroom.  I feel like a prisoner in my own house.,It's frustrating feeling trapped in your own home because of your mobility issues.,Your fear of falling and not being able to make it to the bathroom has got you thinking that something has to change.,Walking is getting harder and harder.,Sounds like you need accountability to incorporate a walking plan.,Is there a way to switch bedrooms to be closer to the door?,Work your way slowly until you reach your goal.,"Just try it, this is a start and you know damn well you can do it.",Your landlord could be held liable if you are injured or victimized on his or her property. Learn more about your rights and options,health issues / lifestyle
My  legs are heavy and numb. I’m worried I’ll slip and fall walking on the icy sidewalks and driveways in Wichita.  I really need to get back in shape.,You're scared that you could take a bad fall on an icy sidewalk.,You're thinking that if you were able to get back into shape you'd be less likely to slip and fall.,You think you need to get back in shape.,You're right that being in better shape will help you. Here's the exercise plan I want you to try.,Are you going to get a personal trainer?,You can start small. Park farther away from stores. Stretch while you are watching tv or whatever. Practice balancing on one leg when you have nothing else to do (like standing in lines. Always take the stairs.,Do physical activities that will improve your fitness and health.,You need to schedule an appointment with a physical therapist or a doctor. Perhaps they can give you some intelligent mart approaches to getting back into shape.,health issues / lifestyle
A close friend of mine just died of a heart attack while walking in the grocery store.  She was a heavy smoker and overweight.  I want to quit but don’t know how. I want to lose weight. I want to strengthen my lungs but I heard with PAD you cannot walk.,Your friend's death has you thinking about your own mortality. You're thinking that now might be a good time to start coming up with a plan for losing weight and quitting smoking.,"If you knew more about ways to quit smoking and how to lose some weight, you might be willing to give it a try. ",You're worried you're going to end up like your friend.,Let's talk about what kinds of exercise you can add and how you can quit smoking.,Do you want to join a therapy group to reduce smoking?,"You have reasons and still have willpower, with that you will be able to stop and still have a healthier life.","Your willingness and determination to want to stop and lose weight is the key to achieving it. It won't be easy, but don't give up. Strive. Think about the benefits it will have. And look for the necessary help.","Actually, having PAD, you can walk or doing other light exercises on a regular basis following a supervised exercise training schedule to improve your symptoms dramatically.",health issues / lifestyle
I need to exercise more but I’m worried that if I start to exercise it will bring on those hypoglycemic episodes.,You're starting to think about what regular exercise might look like in your life.,You want to start to exercise but you're concerned it could lead to a hypoglycemic episode.,You know you need to exericse more.,You can reduce the likelihood that you'll experience these symptoms if you follow my three-step plan.,Would rather hypoglycemic episodes or an amputation?,Calm down and look for a specialized doctor and try to treat this disease.,I would speak to your doctor on how much exercise you can do without having this be a concern.,Speak to your physical doctor or a dietician,health issues / lifestyle
I am tired of getting in trouble and  being in and out of the ER.  This is my third visit this year. Maybe I need to change my life.,Being in and out of the ER and getting into trouble are starting to get tiring. You’re considering what it would take to change things around.,Being in the ER 3 times feels like a tipping point for you. You don't want to end up there again.,You're tired of being in the ER after fighting.,You're ready to make some positive changes in your life. Let's look at some options and decide where you'll start.,Where do you want to start making some changes?,It sounds like you need to take your own advice. Maybe try writing down how you feel so that you can reflect on it later.,Start changing and reflect on your life actions.,The desire to change your life is the first place to start.  What is it that you find often gets you in the most trouble? Let's start there.,health issues / lifestyle
"I have a hard time checking my blood sugar, so busy with the kids and work, kept thinking about that time I checked my sugar and ended up giving myself too much insulin, don’t want end up like my mom.",It’s hard to find a middle ground between checking your blood sugar often enough and giving yourself the right amount of insulin.,You’re worried that if you don’t figure it out soon there might be some negative consequences.,It's a struggle to check your blood sugar reguarly.,You'll get sick if you don't have enough insulin. This is something you have to do for yourself. No one else can help you.,Are you avoiding being like mom by not checking your insulin?,"So start taking regular exams and if you want to live well and take care of your children, value and take care of your health.",That sounds like a hectic life! Setting a daily alarm could help. You could set an alarm on your phone. You could also download an app specifically for managing blood sugar. I can help you find one.,You need to make time to do these things for yourself,health issues / lifestyle
"I know I am overdue with a colonoscopy, did it when I was 50. I’m 60 now. The prep was horrible. Mine turned out fine and no one in my family has had colon cancer. ",You know that you’re due for a colonoscopy but you’re not feeling like it’s that urgent because your last test was fine and you don’t have a family history of cancer.,Right now you're not too concerned about the missed colonoscopy. You might feel differently if someone in your family had been diagnosed with cancer.,It's been 10 years since your last colonoscopy.,You don't know what your cells have been doing the past ten years. It's important to protect your health and learn that everything is OK.,So you'd rather die than have another colonoscopy?,Colonoscopy is very important for the early diagnosis of colon cancer. It would be good for everyone in the family to have it done immediately.,"That's fine, but always take the annual exams.",I understand your reticence to go through colonoscopy prep. None of us enjoy it! But in the long run its better to be sure you dont have colon cancer.,health issues / lifestyle
Do you have diabetes ? Do you have any idea how hard it is to live with this?,You're concerend that because I don't have diabetes I can't understand what you're going through.,It is important to you that I understand how difficult living with diabetes can be.,Having diabetes has been really hard on you.,Many people lead successful lives while maintaining healthy blood sugar levels. You need to make your health a priority.,Have you tried monitoring your levels with an app on your phone?,"I understand how you feel, I do not have diabetes but I help take care of a loved one living with the disease, so I do understand you.",I do not have diabetes so I can't say how hard it is. But I do have family members that struggled with it and with keeping a healthy diet and know that view.,That not so tough. You can get suggestion from doctor.,health issues / lifestyle
"So, have you ever had breast cancer or any cancer for  that matter, do you know what it’s like to have your body turn on you like this?",You feel betrayed by your own body.,You're concerned that I can't understand what it feels like to have cancer.,Having cancer makes you feel alone.,No one can truly understand your experiences but I can understand why it's hard for you. You are strong and will get through this.,Have you tried joining a support group?,"That is a valid fear, but living in fear is not a good way to live. You need to be proactive about it.","Not everyone dies that has cancer. Treatments are improving all the time. While it is  your right to refuse treatment, really think about those around you.",Don't worry you will be all right. Now science can cure your problem.,health issues / lifestyle
"I don’t want to come back. I am so scared of having Cancer, my mom died of it.",Your mom's experience still haunts you.,"You find that it's easier to ignore the test results. You're so scared of having cancer, you'd rather not know. ",You’re not sure what you would do if we find a problem.,Avoiding diagnosis and treatment can only cause more severe problems. Early intervention is your best chance.,Do you want to wonder what's wrong?,No I do not have MS but we have counselors and therapists available as part of your ongoing treatment.,"Change it, the uncertainty comes from you and the action is yours alone.","I do have some experience with MS. My son has had to deal with it for years, and i know the strain it must put on you.",health issues / lifestyle
"So do you have MS, do you know what it’s like to have to inject yourself everyday, to live with such uncertainty.",Daily injections are a huge bummer and really have a negative impact on your life.,You live in fear of the future.,MS causes you to question your future.,You have a treatment course you can focus on. You have to take care of yourself or your symptoms will worsen.,Would you prefer to be off your medications?,What is it that you want to do about your way? Perhaps they don’t understand what you’re trying to do with your weight at this moment in time.,It sounds like your weight bothers you. Why does it make you upset?  Maybe start taking a step to accept yourself as you are is moving in the right direction.,"Specifically, what type of things don't work for you?",health issues / lifestyle
"I don’t eat any lunchmeat anymore, bread hardly ever, I don’t hardly use salt anymore",You've really tried to change your diet in hopes of being healthier.,You've putting a lot of effort into eating healthier and you're trying to find the right substitutions for your diet.,"You've cut out lunchmeat, carbs, and sodium. ",You've given up a lot of unhealthy things. Let's look at your food log to see how well you've replaced the higher sodium foods.,Are you still eating sugar?,Some of the nutritional value of those items is integral to being fully healthy. Is there a valid reason to cut these items out of your diet?,"Salt is essential for our system, of course within a good dosage.",That's a wonderful change for your health and body. What have you found to be difficult or helpful in this change?,health issues / lifestyle
"Well, I read canned vegetables are better than the fresh stuff.","You've done research to try to figure out what's healthire -- fresh or canned. If it's ok with you, I can share a little more....",Learning about what you put in your body is important to you.,You've been location for information about canned vegetables.,"Unfortunately canned foods contain higher amounts of sodium than fresh foods. You should avoid canned foods, even vegetables when you can. ",Have you read the label on the can?,Some canned vegetables actually end up with additives that the fresh stuff does not. These additives have been known to have negative side effects which would presumably make the fresh vegetables the safer and less side effect riddled option.,"Fresh foods do not always have more biological value, they are richer in nutrients.","That's interesting, where did you read that? Canned vegetables are often highly processed with salt to preserve them and aren't as healthy as fresh or even frozen because of this.",health issues / lifestyle
"It really scares me when I have to drive somewhere; I always have to give myself lots of extra time, and even then I am so worried about hurting myself or someone else if I get into an accident.",You're freaked out by driving and realize that you could end up hurting someone.,You're questioning if it's still safe for you to be behind the wheel.,You wish you didn't have to drive,You absolutely should not be driving. You could kill someone!,Couldn't someone drive you?,Feel confident and secure and gradually this fear will begin to pass.,It is important to remain calm. Take several deep breath before setting out.,It is your duty and responsibility of your work.  Take some break for few days and return to your work,other
What I like to do for fun is hang out with my friends and party. Nothing bad has happened except a car accident and everyone was ok.,You’d only be concerned about your partying if an accident happened where everyone wasn’t ok.,Having a good time with your friends is important to you.,You like to hang out with your friends and party to have fun.,Next time the consequences could be worse. There's no reason to have a next time. Let's make a plan for how to get home more safely when you go out.,"Have you considered that something bad did happen, because there was an accident? ","That is something bad happened and this time you were safe, but other times you might not be lucky. Even if you are see if you could hurt someone else in another vehicle.","If the accident was through no fault of yours, it's a factor, if someone was intoxicated, the responsibility is total of you and with other people on the road.","That sounds pretty bad, and expensive. I'm glad everyone was OK, though. While partying is fun, there are risks and you should never drink and drive.",other
"I think people are scared of me. They treat me differently since coming home, they all want to show how they are behind us, but they also look at us like freaks. I wonder how I come across to them. I guess they worry that I did horrible things or have PTSD or something.",What everyone else thinks of you has a significant impact on you.,You worry about what others are thinking of you and their perception of your experiences.,You think people are scared of you now that you've returned from miliary service.,Many people struggle to connect with others that have different experiences from them. You could benefit from talk therapy or EMDR.,What makes you worried about others perceptions of your life experiences?,"I want you to try explaining to them that you are still you, and that even though hard things might have happened in combat, you are safe to be around and need their support.","Patience this will always happen, but with time you will realize that everything will be returning to normal.",What makes you think that people are scared of you,other
"I am so angry about this whole f***cking mess. I never signed up thinking I’d have two tours let alone one. I knew it was a possibility, but I never thought it would turn out this way that I would have to be away for so long, be away from my family, my job, for what?","You’re pissed off about how all of this played out. If you'd known what was going to happen, you would have enlisted. ",When you signed up you were a bit naive about what potentially could happen after enlisting.,You didn't think it would turn out like this.,"You gave up so much, and feel like you're getting screwed now. You have served in ways that most people are unwilling or unable to do. You can focus on what you want to do when you're able.  ",Does it feel worth it?,You knew what you were getting into. The pain will make you appreciate getting it over with even more.,"Calm down, this is part of progress, sometimes changes like these make you a more mature person.",be calm and they have a own reason for let alone so try to understand the situation and take your time to think about your family if you this much stressed up they definitely worried about you,other
I know its bad to have my phone out all the time. I have so many emails coming in. Sometimes I want to space out and check my Instagram.,Your phone seems like a necessity. Sometimes you need it for work and other times it’s a much needed distraction.,You've been thinking about the negative impact that having your phone out all the time can have on you and your family.,You're destracted by your phone a lot.,You're too busy and need to find ways to reduce your responsibilities.,Why are you leaving your phone out?,"Keep your phone always in your pocket . Whenever you want this just take it, used it and keep it in your pocket","It is really bad. Even more when we have many commitments. But take that time out for yourself and your family. While the phone helps, it can also harm us.",That is okay to do it sometimes but you dont want it to become obsessive,other
"I know its better to wear a helmet, but I really enjoy the freedom of riding without restraints, makes me feel unstoppable.","Riding without a helmet is better for you, but it's hard to wear one because you enjoy riding without restraints. ","You know the dangers of riding without a helmet. While you recognize that it'd be better for you and keep you safer, you haven't quite figured out a way to be safe while also enjoying the feeling of being unstoppable. ",You don't like to ride with a helmet.,"You're less likely to die if wearing a helmet, but it doesn't reduce your odds completely. You can still feel the freedom of riding while staying safe. ",So you don't wear a seatbelt either?,Putting a helmet on is such an easy thing to do when you think about what could happen if you don't wear it.,You also know that one accident and that feeling of unstoppable will all be gone. You’re one small pebble on the road away from being stoppable.,"It takes a lifetime, and you know you shouldn't have that kind of thinking.",other
Never had money growing up. Making more now than I never had. Love to treat myself. I pay my credit cards. Yes they are maxed out. I had to take out a loan for my house but that was worth it.,The thought of being in debt doesn’t concern you at all.,"Since you never had money growing up, you find that as an adult you often splurge on things you can't necessarily afford. ",You have a lot of debt.,"Sounds like you think increasing your debt is more fun than having money long-term, so you'll end up like your family, not having money.",How much debt do you need to accumulate before you decide it's a concern?,I think that spending money isn't a bad thing. I would reccommend setting aside a certain amount that you should spend everyday and work from there. Don't blow it all in one place.,"This is not a problem, as long as you manage to fulfill the commitments, difficulties we all have.",yes,other
"A lot on my plate, work, school, planning a wedding. Things will calm down eventually but I cannot sleep or eat enough now.",You’re feeling anxious by everything going on right now and it’s having an effect on every aspect of your life.,You're in survival mode right now. You're not able to eat or sleep because you're so overwhlemed by having too much going on at once.,You have a lot on your plate and feel overwhelmed.,"You can't wait for things to calm down, or you'll be worse off. Maybe you can put off your wedding until have you graduate ",How much longer can you maintain this pace without proper nutrition or sleep?,"Work can always wait, although they will say that they can't. Weddings, unfortunately, are pressing. Focus on the wedding and take time for yourself. Use some PTO.","Be patient, these things happen to many people, and that is part of it.",You have to try to keep annoyances and big future plans in your life at a moderate level and not fall prey to the highs and lows. Perhaps you need to ask others for more assistance?,other
I can do that when I’m at the store.,You're committed to doing it the next time you head to the store.,You're starting to think of how you can put this plan in motion. You're thinking that you'll be able to get started the next time you head to the store.,You'll take a look when you head back to the store.,You need to set a reminder in your phone and add it to your shipping list.,How will you remind yourself at the store.,"Okay, that's good then. Write it down so that you don't forget.","Ok, I suggest that you do. It may be helpful for you.",Who decides whether you can or cannot do that when you are at the store?,other
"Yes, I know all that TV and all those video games are not good for her. By what can I do?  I cannot afford a babysitter and I must get my work done. I work out of my home.","You know that you can’t be the kind of employee you really want to be with your daughter at home. And while hiring a babysitter is off the table due to the cost, you’re starting to think about what other options there might be to keep her occupied besides tv.",You're really in a pinch. You have to keep the kids occupied but you also have to get work done at home.,You know tv isn't a great choice for her.,Maybe you could have them watch an exercise video while you work.,You know that screentime is horrible for them but you still let them watch tv and play video games all night?,"Act as a father or mother, be responsible for your actions and in a way.",Can you put together some activity boxes for her? Small things she can do maybe sitting next to you while you're working?,ok,parenting
"My child cannot participate in the program because I work two jobs, my other kids are struggling in school. We are just too busy.",Your chaotic schedule makes it hard to even consider adding something else to your plate.,"Between your work schedule and the kids' schooling, it just doesn't seem feasible right now to enroll.",You're not interested right now.,"You can make time to get your child to this program, or you can spend more time taking them to multiple visits because they'll be sick and need extra medical care. ",Don't you care about their health?,Can your child participate online instead of onsite? Does your child have a friend that is in the program? Perhaps the friend's parents would take the child. I use to drive around other kids all the time.,"Be patient, you are doing your part, things will naturally get better.","Have you looked into community resources or to family to help with logistics, such as transportation, to the program?",parenting
"We have done everything that we are supposed to do in this program, but it still hasn’t worked.   My daughter is still gaining weight.",You’ve really committed yourself to the program and you’ve put in a lot of effort to help your daughter with her weight. You’re feeling let down that so far the program hasn’t helped your daughter lose weight.,You're having a hard time understanding why your daughter is still gaining weight when you've both been putting in so much effort.,The program hasn't worked for your daughter.,You're likely missing something. Either she's eating too much or not getting enough exericse.,Are you sure you've done everything you can? Has she given up all sugar sweetened beverages?,"Perhaps you guys should go see a dietitian. See someone that can understand what’s going on with you guys, and give you advice that is perfect for you guys. It’s not gonna be a generalization it’s going to be exactly what will work for you guys in particular.","Be patient, things don't change quickly.",I can see your frustration. Have you spoken with her pediatrician about your concerns?,parenting
Why bother? The other family in our house won’t put a TV timer on their TV and our kids just go to the living room to watch with them.,Sharing living space and trying to set boundaries at the same time can seem nearly impossible when the other family isn’t on the same page.,Finding a balanace between your family's rules and the other family's rules is a huge struggle.,You can't control what the other family does.,Try talking to the other mom to see if you can agree on tv time.,Have you tried telling your kids not to go into the living room?,See what is healthier and that is a more united family.,Maybe you could discuss the tv timer with the other family and come to an agreement.,So control your kids. It's not their responsibility to limit what they do in their own time because of YOUR kids,parenting
"The food at school breakfast and lunch are all red lights, so it is hard for her to follow the diet.","If you could find a way to get healthy food to your daughter at school, it would be something you might consider. ",Your daughter has a hard time finding healthy options at school.,Your daughter isn't given healthy food at school.,She can always grab fruit or vegetables. Those are always available in schools.,What if you packed her a lunch?,"The school diet is passed by a nutritionist, so make an effort to start eating.",Try bringing in your lunch from home.,Maybe she can take her own breakfast that has some healthier foods.,parenting
"My husband won’t support the program, he wants whole milk because it is healthier and tastes better and wants our son to have it so he grows to be strong.","Your husband feels strongly that whole milk is the way to go. If you could find a way to get your husband on board with 1% or skim milk, things might be a bit different. ",It sounds like you wish your husband was on board with the program. You think this could be a good fit for your son.,Your husband doesn't support the program.,I can give you a handout to share with your husband that clearly shows why your son should not be drinking whole milk.,Why can't you just buy what's healthier?,Always fight for the best welfare of the child that is your child.,"DRINKING MILK IS GOOD FOR HEALTH ONLY AND ALSO GIVE IT YOUR SON TO GROW STRONG, BUT EVEN MORE HE MAY HAVE TO BE SUPPORT FOR THE PROGRAM",I would suggest laying out your idea in a way that he can understand it. Maybe the two of you can have a pros/cons conversation about whole milk versus other types of milks?,parenting
"Every time I bring up my daughter's weight with her, it leads to a fight. She tells me to get off her case. Then my husband tells me to back off and let her be. “She’ll grow out of it”, he says. But I think it’s important to do something about it now, before it’s too late.",You feel trapped between you desire to help her and your husband telling you it is not a big problem.,You are a bit upset that your husband has not supported your efforts to help your daughter lose weight.,Talking to your daughter about her weight causes a fight.,You can talk to her about physical activity instead of her weight. The weight is just a symptom.,"What happens if you talk to her about her nutrition, or what she eats?","You and your husband must come to an agreement, the education of the children belongs to both of you.","If your daughter's health is not seriously impacted, I think that your comments might do more harm than good. Letting her look after herself might actually be quite productive.",Be patient and try to make her realize that she had to consider it that which you said her was right. Once she came to know her mistake by her thpought she will overcome it,parenting
"It breaks my heart to see her so heavy. I know what it’s like to be a big teenager. It was terrible for me. I want to bring it up but I don’t want to hurt her feelings. I tell her that she looks fine, but at the same time I know she is way too big for her age.",Being overweight as a teen was horrible for you and you want to save your daughter from that suffering (or same fate).,You feel trapped because you want to help her address it but it is too upsetting for you both to even talk about,You don't like to see your daughter overweight.,You're hurting her health by not talking about it.,Don't you wish someone had talked to you about your weight when you were a teen?,I think you should just be honest with her. Let her know how you dealt with the weight gain and tell her you will support her.,I understand your concern for your daughter,"Maybe you don't have to say anything at all, but instead suggest doing things like taking a walk with you, joining a sports team.  I also suggest we look at the diet in the home, how is she eating?",parenting
"I can’t stand how much TV she watches. When I leave for work, she is watching talk shows. When she comes home from school more talk shows. I think she is frying her brain and wasting her talent. I don’t know what to do about it.  I wish I could get her to be more active or to be involved in something more positive.","You had great expectations for your daughter, but you see that slipping away. You think TV as a real waste for her. You feel you are letting her down by not getting her away from the TV.","You are sad that she might be losing out on bigger and better things because she wastes so much time watching TV
.
",You think your daughter watches too much tv.,"You could block her from turning on the TV, while you're at work. Or turn off the internet if she'll just watch on her computer when the TV is off.",Can't you just control her internet/cable access?,"If that's what she wants to do, then I wouldn't bother her. It's not that big of a deal.",Have you tried suggesting some options? Maybe try doing something together,In what ways do you want her to be more active or involved?,parenting
"My son’s problem is sweets. He loves candy, cake and ice cream. He won’t eat any regular food and I feel so bad that he is hungry that I usually give in and let him have junk food, just so he gets something into his system.","You and your son are having a battle about food, and he seems to be winning. You are disappointed in yourself that you give in to his demands. ","
You might have to learn to tolerate him being hungry in order to get him to eat some healthier foods.",Your son won't eat the healthy foods you provide.,You need to keep sweets out of the house so they aren't available for him to eat.,Why do you keep buying unhealthy food?,"Change the food system, everything is a matter of learning.",Developing a reward system would teach him he has to comply in order to get what he wants.,A little bit of that okay but not a steady diet of it so I would say limit it and when he gets hungry enough he will eat real food.,parenting
